
1656774610.4375145:
array size Odd-Even Sort time     Heap Sort time
        50           0.000000           0.000999
       100           0.002000           0.001000
       150           0.003999           0.000000
       200           0.005999           0.002000
       250           0.011001           0.002000
       300           0.015999           0.002001
       350           0.021000           0.001999
       400           0.029038           0.002997
       450           0.035965           0.004002
       500           0.049998           0.004000
       550           0.053046           0.003955
       600           0.065038           0.003962
       650           0.074001           0.006000
       700           0.182106           0.004998
       750           0.102965           0.006035
       800           0.129980           0.016991
       850           0.134033           0.007986
       900           0.173014           0.007008
       950           0.188000           0.007978
      1000           0.225009           0.007967

1656775457.7898412:
array size Odd-Even Sort time     Heap Sort time
       500           0.042023           0.002999
      1000           0.219953           0.010000
      1500           0.403022           0.014029
      2000           0.752650           0.021998
      2500           1.218748           0.023000
      3000           1.813655           0.029023
      3500           2.417831           0.035006
      4000           3.148572           0.039956
      4500           4.274752           0.097003
      5000           5.035245           0.066058
      5500           6.169616           0.059950
      6000           7.296499           0.068033
      6500           8.691040           0.074001
      7000          10.446658           0.079000
      7500          10.939018           0.080000
      8000          13.759205           0.099196
      8500          14.425032           0.093180
      9000          15.689827           0.100482
      9500          19.025387           0.113024
     10000          19.932574           0.135058

1656793904.774422:
array size Odd-Even Sort time     Heap Sort time
      5000           5.050730           0.052111
     10000          20.022228           0.114809
     15000          44.835123           0.198751
     20000          81.097957           0.385965
     25000         125.733162           0.364035
     30000         181.340071           0.403303
     35000         248.190786           0.470205
     40000         324.687289           0.608989
     45000         413.101500           0.708863
     50000         500.754096           0.726035
     55000         598.026939           0.769439
     60000         733.817189           0.883518
     65000         848.929217           0.948540
     70000         958.277881           1.314203
     75000        1133.226645           1.219989
     80000        1289.886729           1.148991
     85000        1425.828062           1.308510
     90000        1608.082953           1.445057
     95000        1799.120695           1.598998
    100000        1941.867192           1.656832

1656797385.8892243:
array size Odd-Even Sort time     Heap Sort time
        50           0.000000           0.000000
       100           0.002005           0.000999
       150           0.003967           0.001001
       200           0.007034           0.001002
       250           0.013961           0.001999
       300           0.018004           0.002001
       350           0.021994           0.001998
       400           0.028001           0.003002
       450           0.037037           0.003961
       500           0.045047           0.003953
       550           0.055048           0.003953
       600           0.063001           0.003999
       650           0.076059           0.005033
       700           0.088144           0.005025
       750           0.099024           0.004956
       800           0.114033           0.006967
       850           0.126033           0.006967
       900           0.146045           0.006953
       950           0.160327           0.007903
      1000           0.178185           0.008034

1656797795.153262:
array size Odd-Even Sort time     Heap Sort time
        50           0.000000           0.001000
       100           0.002000           0.000000
       150           0.005037           0.001000
       200           0.006986           0.001002
       250           0.011021           0.001956
       300           0.018036           0.001998
       350           0.022965           0.002999
       400           0.032001           0.003036
       450           0.040000           0.002967
       500           0.049996           0.005002
       550           0.059025           0.004010
       600           0.071004           0.005984
       650           0.082978           0.005999
       700           0.098033           0.005999
       750           0.110013           0.006001
       800           0.126304           0.007053
       850           0.141205           0.006952
       900           0.185047           0.007035
